dateff,mktrf,smb,hml,rf,umd
20140829,0.042400,0.003800,-0.004300,0.00000,0.008200
20140930,-0.019700,-0.037100,-0.013600,0.00000,0.005000
20141031,0.025200,0.042400,-0.018500,0.00000,-0.000600
20141128,0.025500,-0.020300,-0.031200,0.00000,0.006900
20141231,-0.000600,0.024800,0.022900,0.00000,0.011200
20150130,-0.031100,-0.005400,-0.036100,0.00000,0.038400
20150227,0.061300,0.006000,-0.018500,0.00000,-0.028200
20150331,-0.011200,0.030600,-0.004100,0.00000,0.027400
20150430,0.005900,-0.030400,0.018300,0.00000,-0.072700
20150529,0.013600,0.009100,-0.011000,0.00000,0.058100
20150630,-0.015300,0.028800,-0.007600,0.00000,0.030100
20150731,0.015400,-0.042000,-0.040700,0.00000,0.100000
20150831,-0.060400,0.003600,0.028000,0.00000,-0.020900
20150930,-0.030700,-0.026300,0.005700,0.00000,0.052200
20151030,0.077500,-0.018600,-0.004600,0.00000,-0.032800
20151130,0.005600,0.036000,-0.003800,0.00000,0.022800
20151231,-0.021700,-0.028100,-0.025900,0.00010,0.033500
20160129,-0.057700,-0.033900,0.020600,0.00010,0.014400
20160229,-0.000700,0.008100,-0.005700,0.00020,-0.043800
20160331,0.069600,0.007600,0.011000,0.00020,-0.050100
20160429,0.009100,0.006700,0.032100,0.00010,-0.060200
20160531,0.017800,-0.001900,-0.016600,0.00010,0.014200
20160630,-0.000500,0.005900,-0.014500,0.00020,0.041300
20160729,0.039500,0.024900,-0.013100,0.00020,-0.033400
20160831,0.004900,0.011600,0.031600,0.00020,-0.034900
20160930,0.002500,0.021300,-0.012200,0.00020,0.001900
20161031,-0.020200,-0.044000,0.041200,0.00020,0.006000
20161130,0.048600,0.056800,0.082000,0.00010,-0.046200
20161230,0.018100,0.001100,0.035600,0.00030,-0.002600
20170131,0.019400,-0.011600,-0.027300,0.00040,-0.009300
20170228,0.035700,-0.020500,-0.016600,0.00040,-0.016500
20170331,0.001700,0.011300,-0.033700,0.00030,-0.010200
20170428,0.010900,0.007200,-0.021500,0.00050,0.004800
20170531,0.010600,-0.025500,-0.037600,0.00060,0.014800
20170630,0.007800,0.022400,0.014800,0.00060,-0.000900
20170731,0.018700,-0.014600,-0.002200,0.00070,0.016200
